Team,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Milwaukee Bucks,.476,.353,.773,49.7,26.0,7.5,5.9,13.9,19.6,118.1
Golden State Warriors,.491,.385,.801,46.2,29.4,7.6,6.4,14.3,21.4,117.7
New Orleans Pelicans,.473,.344,.761,47.3,27.0,7.4,5.4,14.8,21.1,115.4
Philadelphia 76ers,.471,.359,.771,47.8,26.9,7.4,5.3,14.9,21.3,115.2
Los Angeles Clippers,.471,.388,.792,45.5,24.0,6.8,4.7,14.5,23.3,115.1
Portland Trail Blazers,.467,.359,.814,48.0,23.0,6.7,5.0,13.8,20.4,114.7
Oklahoma City Thunder,.454,.348,.713,48.1,23.4,9.3,5.2,14.0,22.4,114.5
Toronto Raptors,.474,.366,.804,45.2,25.4,8.3,5.3,14.0,21.0,114.4
Sacramento Kings,.464,.378,.726,45.4,25.4,8.3,4.4,13.4,21.4,114.2
Washington Wizards,.468,.341,.768,42.4,26.3,8.3,4.6,14.1,20.7,114.0
Houston Rockets,.449,.356,.791,42.1,21.2,8.5,4.9,13.3,22.0,113.9
Atlanta Hawks,.451,.352,.752,46.1,25.8,8.2,5.1,17.0,23.6,113.3
Minnesota Timberwolves,.456,.351,.787,44.8,24.6,8.3,5.0,13.1,20.3,112.5
Boston Celtics,.465,.365,.802,44.5,26.3,8.6,5.3,12.8,20.4,112.4
Brooklyn Nets,.449,.353,.745,46.6,23.8,6.6,4.1,15.1,21.5,112.2
Los Angeles Lakers,.470,.333,.699,46.6,25.6,7.5,5.4,15.7,20.7,111.8
Utah Jazz,.468,.356,.736,46.4,26.0,8.1,5.9,15.1,21.1,111.7
San Antonio Spurs,.478,.392,.819,44.7,24.5,6.1,4.7,12.1,18.1,111.7
Charlotte Hornets,.448,.351,.797,43.8,23.2,7.2,4.9,12.2,18.9,110.7
Denver Nuggets,.466,.351,.755,46.4,27.4,7.7,4.4,13.4,20.0,110.7
Dallas Mavericks,.447,.340,.742,45.3,23.4,6.5,4.3,14.2,20.1,108.9
Indiana Pacers,.475,.374,.752,43.0,26.0,8.7,4.9,13.7,19.4,108.0
Phoenix Suns,.459,.329,.779,40.4,23.9,9.0,5.1,15.6,23.6,107.5
Orlando Magic,.454,.356,.782,45.4,25.5,6.6,5.4,13.2,18.6,107.3
Detroit Pistons,.440,.348,.747,45.0,22.5,6.9,4.0,13.8,22.1,107.0
Miami Heat,.450,.349,.695,46.3,24.3,7.6,5.5,14.7,20.9,105.7
Chicago Bulls,.453,.351,.783,42.9,21.9,7.4,4.3,14.1,20.3,104.9
New York Knicks,.433,.340,.759,44.7,20.1,6.8,5.1,14.0,20.9,104.6
Cleveland Cavaliers,.444,.355,.792,42.7,20.7,6.5,2.4,13.5,20.0,104.5
Memphis Grizzlies,.450,.342,.772,41.8,23.9,8.3,5.5,14.0,22.0,103.5