season,fg%,3p%,ft%,reb,ast,stl,blk,tov,pf,pts
2019-20,.463,.377,.804,3353,1525,465,451,946,1606,8508
2018-19,.467,.359,.814,3935,1887,546,413,1135,1669,9402
2017-18,.452,.366,.800,3728,1599,573,423,1109,1599,8661
2016-17,.459,.375,.780,3580,1733,574,408,1126,1736,8851
2015-16,.450,.370,.754,3730,1748,562,380,1200,1782,8622
2014-15,.450,.362,.801,3760,1799,525,372,1117,1494,8429
2013-14,.450,.372,.815,3808,1904,454,387,1125,1576,8753
2012-13,.448,.353,.776,3348,1784,538,353,1203,1518,7995
2011-12,.443,.346,.796,2684,1349,528,322,935,1251,6415
2010-11,.447,.345,.804,3226,1736,660,358,1070,1585,7896
2009-10,.461,.354,.790,3296,1674,523,350,1012,1715,8045
2008-09,.465,.383,.765,3420,1667,550,402,1055,1671,8153
2007-08,.448,.377,.767,3339,1733,455,360,1056,1642,7820
2006-07,.450,.346,.769,3222,1513,555,380,1236,1931,7717
2005-06,.445,.349,.689,3089,1490,529,435,1205,1828,7285
2004-05,.451,.362,.725,3374,1722,583,544,1308,1703,7621
2003-04,.448,.346,.731,3416,1768,613,443,1213,1554,7440
2002-03,.460,.330,.745,3370,1860,725,316,1248,1634,7803
2001-02,.450,.354,.763,3529,1926,702,368,1172,1613,7925
2000-01,.468,.349,.762,3441,1963,672,419,1257,1745,7824